"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","528","Create User","LMS service","Mon Feb 02 10:21:05 UTC 2026","passed","Mon Feb 02 10:21:05 UTC 2026","Create entity","Users","",""
"","17","Get user me","LMS service","Mon Feb 02 10:21:06 UTC 2026","passed","Mon Feb 02 10:21:06 UTC 2026","Get entity","Users","",""
"","16","Get file with incorrect file id","LMS service","Mon Feb 02 10:21:04 UTC 2026","passed","Mon Feb 02 10:21:04 UTC 2026","Validate entity","Files","",""
"","51","Delete exercise","LMS service","Mon Feb 02 10:21:01 UTC 2026","passed","Mon Feb 02 10:21:01 UTC 2026","Delete entity","Exercises","",""
"","20","Update exercise","LMS service","Mon Feb 02 10:21:00 UTC 2026","passed","Mon Feb 02 10:21:00 UTC 2026","Update entity","Exercises","",""
"","515","Create User","LMS service","Mon Feb 02 10:21:05 UTC 2026","passed","Mon Feb 02 10:21:05 UTC 2026","Create entity","Users","",""
"","279","Create file with empty directory","LMS service","Mon Feb 02 10:21:03 UTC 2026","passed","Mon Feb 02 10:21:04 UTC 2026","Validate entity","Files","",""
"","31","Get course","LMS service","Mon Feb 02 10:20:57 UTC 2026","passed","Mon Feb 02 10:20:57 UTC 2026","Get entities","Courses","",""
"","283","Create file","LMS service","Mon Feb 02 10:21:02 UTC 2026","passed","Mon Feb 02 10:21:02 UTC 2026","Create entity","Files","",""
"","286","Login with correct email and password","LMS service","Mon Feb 02 10:20:56 UTC 2026","passed","Mon Feb 02 10:20:56 UTC 2026","Login","Authentication","",""
"","29","Get exercises","LMS service","Mon Feb 02 10:21:01 UTC 2026","passed","Mon Feb 02 10:21:01 UTC 2026","Get entities","Exercises","",""
"","296","Create file with empty delete","LMS service","Mon Feb 02 10:21:04 UTC 2026","passed","Mon Feb 02 10:21:04 UTC 2026","Delete entity","Files","",""
"","19","Get file","LMS service","Mon Feb 02 10:21:02 UTC 2026","passed","Mon Feb 02 10:21:02 UTC 2026","Get entity","Files","",""
"","33","Create course","LMS service","Mon Feb 02 10:20:58 UTC 2026","passed","Mon Feb 02 10:20:58 UTC 2026","Create entity","Courses","",""
"","282","Create file with empty filename","LMS service","Mon Feb 02 10:21:03 UTC 2026","passed","Mon Feb 02 10:21:03 UTC 2026","Validate entity","Files","",""
"","291","Create User","LMS service","Mon Feb 02 10:21:05 UTC 2026","passed","Mon Feb 02 10:21:05 UTC 2026","Create entity","Users","",""
"","25","Create exercise","LMS service","Mon Feb 02 10:20:58 UTC 2026","passed","Mon Feb 02 10:20:59 UTC 2026","Create entity","Exercises","",""
"","29","Update course","LMS service","Mon Feb 02 10:20:57 UTC 2026","passed","Mon Feb 02 10:20:57 UTC 2026","Update entity","Courses","",""
"","18","Get exercise","LMS service","Mon Feb 02 10:21:00 UTC 2026","passed","Mon Feb 02 10:21:00 UTC 2026","Get entity","Exercises","",""
